age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Product_Search_Method,Customer_Reviews_Importance,Review_Left,Personalized_Recommendation_Frequency ,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,,,,
21,Female,Less than once a month,Beauty and Personal Care,Yes,Keyword,1,Yes,5,3,1,User-friendly website/app interface,Reducing packaging waste,,,,
23,Female,Less than once a month,others,No,Filter,1,No,3,3,3,User-friendly website/app interface,Shipping speed and reliability,,,,
16,Male,Few times a month,Clothing and Fashion,others,Sometimes,Keyword,1,No,3,3,2,Wide product selection,Shipping speed and reliability,,,
21,Female,Less than once a month,Clothing and Fashion,No,Keyword,1,No,2,2,1,Wide product selection,Shipping speed and reliability,,,,
23,Female,Few times a month,Beauty and Personal Care,Home and Kitchen,Sometimes,Keyword,1,No,2,3,2,Wide product selection,Customer service responsiveness,,,
25,Female,Less than once a month,Beauty and Personal Care,No,Keyword,1,No,4,3,2,Wide product selection,Product quality and accuracy,,,,
64,Male,Once a week,Groceries and Gourmet Food,No,Keyword,3,No,2,1,2,Competitive prices,Reducing packaging waste,,,,
23,Female,Once a month,Clothing and Fashion,No,others,1,No,3,3,2,User-friendly website/app interface,Customer service responsiveness,,,,
21,Male,Less than once a month,others,No,others,1,No,3,3,3,.,.,,,,
16,Female,Less than once a month,Clothing and Fashion,No,categories,2,No,3,2,2,Wide product selection,Shipping speed and reliability,,,,
23,Female,Few times a month,Beauty and Personal Care,Clothing and Fashion,others,No,Keyword,1,Yes,3,1,1,Competitive prices,Customer service responsiveness,,
24,Female,Multiple times a week,Groceries and Gourmet Food,Yes,categories,1,Yes,2,2,3,User-friendly website/app interface,Product quality and accuracy,,,,
22,Female,Less than once a month,Beauty and Personal Care,Clothing and Fashion,No,Keyword,1,No,3,2,2,Wide product selection,Shipping speed and reliability,,,
23,Female,Less than once a month,Beauty and Personal Care,No,categories,4,No,3,3,5,Wide product selection,Reducing packaging waste,,,,
23,Female,Few times a month,Beauty and Personal Care,Clothing and Fashion,others,Sometimes,categories,1,No,3,2,2,User-friendly website/app interface,Shipping speed and reliability,,
24,Female,Less than once a month,Clothing and Fashion,Yes,Keyword,4,No,4,5,4,Competitive prices,Reducing packaging waste,,,,
25,Female,Few times a month,Groceries and Gourmet Food,Clothing and Fashion,others,No,Keyword,5,Yes,2,3,4,Wide product selection,Product quality and accuracy,,
23,Female,Less than once a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,No,Keyword,5,No,4,3,4,Competitive prices,Customer service responsiveness,
23,Female,Less than once a month,others,No,others,3,No,5,3,3,Wide product selection,Product quality and accuracy,,,,
23,Female,Less than once a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,Yes,Keyword,1,Yes,1,2,1,Wide product selection,Reducing packaging waste,
23,Male,Multiple times a week,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,Yes,Keyword,1,Yes,3,1,1,Competitive prices,Customer service responsiveness
24,Female,Less than once a month,others,Sometimes,Keyword,1,Yes,3,3,1,Wide product selection,Product quality and accuracy,,,,
24,Female,Few times a month,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,No,Keyword,4,No,2,2,1,Wide product selection,Shipping speed and reliability,,
23,Female,Less than once a month,Beauty and Personal Care,Home and Kitchen,Sometimes,categories,1,No,2,2,2,Wide product selection,Reducing packaging waste,,,
29,Male,Once a month,Clothing and Fashion,Sometimes,categories,1,No,2,2,2,Competitive prices,Customer service responsiveness,,,,
19,Female,Few times a month,Clothing and Fashion,Yes,Keyword,5,Yes,3,3,5,Competitive prices,Shipping speed and reliability,,,,
26,Female,Less than once a month,others,Yes,Keyword,1,Yes,1,2,2,Competitive prices,Product quality and accuracy,,,,
32,Male,Less than once a month,others,No,Keyword,1,No,1,4,1,Customer service ,Nothing,,,,
30,Female,Once a month,Home and Kitchen,No,Filter,2,Yes,1,4,1,User-friendly website/app interface,Reducing packaging waste,,,,
22,Female,Less than once a month,Beauty and Personal Care,others,No,others,1,No,5,3,2,User-friendly website/app interface,Product quality and accuracy,,,
26,Female,Few times a month,Beauty and Personal Care,Clothing and Fashion,Yes,categories,1,Yes,2,2,2,User-friendly website/app interface,Shipping speed and reliability,,,
24,Female,Less than once a month,Beauty and Personal Care,Clothing and Fashion,No,Keyword,1,Yes,1,1,1,Wide product selection,Customer service responsiveness,,,
23,Female,Few times a month,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,Yes,Keyword,5,No,4,4,4,Wide product selection,Product quality and accuracy,,
24,Female,Less than once a month,Clothing and Fashion,Sometimes,Filter,3,No,3,3,3,Product recommendations,Product quality and accuracy,,,,
23,Female,Few times a month,others,No,Keyword,1,No,4,3,3,Wide product selection,Product quality and accuracy,,,,
24,Male,Few times a month,Clothing and Fashion,No,Keyword,1,No,1,1,2,User-friendly website/app interface,Product quality and accuracy,,,,
23,Female,Once a month,Beauty and Personal Care,Home and Kitchen,No,Keyword,1,No,5,4,3,Competitive prices,Customer service responsiveness,,,
25,Male,Less than once a month,others,Sometimes,Keyword,4,Yes,3,3,3,Wide product selection,Product quality and accuracy,,,,
24,Female,Less than once a month,Beauty and Personal Care,Clothing and Fashion,No,Keyword,1,No,1,2,2,User-friendly website/app interface,Shipping speed and reliability,,,
21,Female,Few times a month,Home and Kitchen,No,Keyword,1,Yes,1,3,1,User-friendly website/app interface,Reducing packaging waste,,,,
23,Female,Less than once a month,Clothing and Fashion,No,Keyword,1,No,3,3,3,Wide product selection,Reducing packaging waste,,,,
26,Female,Less than once a month,Beauty and Personal Care,Home and Kitchen,No,Filter,1,Yes,4,2,2,Product recommendations,Shipping speed and reliability,,,
23,Female,Few times a month,Clothing and Fashion,others,Yes,Keyword,1,Yes,1,3,2,Wide product selection,Product quality and accuracy,,,
23,Female,Few times a month,Beauty and Personal Care,Clothing and Fashion,Yes,Keyword,4,Yes,3,3,3,Product recommendations,Reducing packaging waste,,,
40,Male,Few times a month,Beauty and Personal Care,Home and Kitchen,No,Keyword,1,Yes,4,2,1,Competitive prices,Reducing packaging waste,,,
25,Female,Once a month,Beauty and Personal Care,Sometimes,categories,5,No,3,3,3,Wide product selection,Customer service responsiveness,,,,
24,Male,Once a month,others,Sometimes,Keyword,4,Yes,4,1,2,Wide product selection,Shipping speed and reliability,,,,
23,Female,Less than once a month,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,No,Keyword,4,Yes,3,3,3,User-friendly website/app interface,Product quality and accuracy,,
24,Male,Less than once a month,others,Sometimes,Keyword,1,Yes,2,3,2,User-friendly website/app interface,Shipping speed and reliability,,,,
24,Male,Less than once a month,others,No,categories,1,No,3,3,3,Wide product selection,Product quality and accuracy,,,,
24,Female,Less than once a month,Beauty and Personal Care,Clothing and Fashion,Sometimes,categories,3,No,3,3,3,Product recommendations,Customer service responsiveness,,,
26,Male,Few times a month,others,No,Keyword,4,Yes,3,3,4,Competitive prices,Product quality and accuracy,,,,
23,Female,Few times a month,Beauty and Personal Care,Home and Kitchen,others,Sometimes,categories,1,No,2,3,3,Wide product selection,Product quality and accuracy,,
23,Female,Few times a month,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,No,categories,1,No,3,3,1,Wide product selection,Product quality and accuracy,,
24,Female,Once a month,others,Sometimes,Keyword,1,Yes,3,3,2,User-friendly website/app interface,Product quality and accuracy,,,,
23,Male,Less than once a month,others,No,Keyword,1,No,3,3,3,Wide product selection,better app interface and lower shipping charges,,,,
24,Female,Less than once a month,Beauty and Personal Care,Clothing and Fashion,Yes,Keyword,1,Yes,1,2,2,Competitive prices,Product quality and accuracy,,,
36,Female,Once a month,Home and Kitchen,others,Sometimes,Keyword,5,Yes,2,3,1,User-friendly website/app interface,Shipping speed and reliability,,,
26,Male,Less than once a month,Home and Kitchen,No,Filter,1,Yes,1,2,1,Wide product selection,Product quality and accuracy,,,,
31,Male,Once a month,Home and Kitchen,others,No,Keyword,1,No,4,3,1,Customer service,Reducing packaging waste,,,
23,Male,Less than once a month,others,No,categories,1,No,2,3,2,User-friendly website/app interface,Reducing packaging waste,,,,
23,Female,Less than once a month,Home and Kitchen,Yes,Keyword,1,No,3,2,2,Wide product selection,Product quality and accuracy,,,,
30,Male,Once a week,Groceries and Gourmet Food,Home and Kitchen,Yes,Filter,4,Yes,4,4,4,Product recommendations,Customer service responsiveness,,,
24,Female,Less than once a month,others,No,categories,2,No,2,2,2,Wide product selection,Product quality and accuracy,,,,
47,Prefer not to say,Less than once a month,others,Sometimes,others,2,No,2,2,2,User-friendly website/app interface,Shipping speed and reliability,,,,
54,Others,Multiple times a week,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,Yes,categories,4,Yes,5,5,5,Competitive prices,Shipping speed and reliability
58,Male,Once a month,Clothing and Fashion,others,No,Keyword,5,No,4,3,3,Competitive prices,Reducing packaging waste,,,
53,Female,Less than once a month,Home and Kitchen,No,Keyword,3,No,2,2,1,Competitive prices,Reducing packaging waste,,,,
23,Prefer not to say,Once a week,Beauty and Personal Care,No,categories,5,Yes,3,3,3,Product recommendations,Reducing packaging waste,,,,
25,Others,Few times a month,Groceries and Gourmet Food,Clothing and Fashion,Yes,Filter,5,Yes,4,3,3,Product recommendations,Customer service responsiveness,,,
23,Female,Less than once a month,Beauty and Personal Care,No,categories,1,No,2,3,2,User-friendly website/app interface,Shipping speed and reliability,,,,
32,Male,Less than once a month,Clothing and Fashion,Home and Kitchen,Sometimes,categories,4,No,4,4,4,User-friendly website/app interface,Customer service responsiveness,,,
30,Prefer not to say,Few times a month,Beauty and Personal Care,Clothing and Fashion,Yes,Filter,5,Yes,5,5,3,Competitive prices,Product quality and accuracy,,,
28,Others,Few times a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,No,Keyword,3,Yes,4,4,3,Competitive prices,Shipping speed and reliability
20,Female,Multiple times a week,Beauty and Personal Care,Clothing and Fashion,No,categories,1,No,3,3,3,Competitive prices,Reducing packaging waste,,,
25,Male,Few times a month,others,No,others,1,No,2,2,3,Wide product selection,Product quality and accuracy,,,,
55,Others,Few times a month,Groceries and Gourmet Food,Yes,Keyword,3,Yes,4,3,3,Product recommendations,Customer service responsiveness,,,,
24,Female,Once a month,Beauty and Personal Care,Home and Kitchen,others,No,Keyword,2,Yes,4,3,4,Wide product selection,Product quality and accuracy,,
62,Female,Less than once a month,Beauty and Personal Care,Sometimes,Filter,3,No,5,4,3,User-friendly website/app interface,Shipping speed and reliability,,,,
27,Male,Less than once a month,others,No,others,4,No,5,5,5,Competitive prices,Customer service responsiveness,,,,
34,Prefer not to say,Few times a month,Beauty and Personal Care,Clothing and Fashion,Sometimes,categories,3,No,4,2,2,Wide product selection,Product quality and accuracy,,,
40,Female,Once a week,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,Sometimes,categories,2,Yes,2,2,2,Competitive prices,Shipping speed and reliability,,
22,Others,Less than once a month,others,Yes,categories,4,Yes,3,3,4,User-friendly website/app interface,Reducing packaging waste,,,,
34,Prefer not to say,Few times a month,Clothing and Fashion,Home and Kitchen,No,categories,3,Yes,1,2,2,User-friendly website/app interface,Product quality and accuracy,,,
24,Female,Less than once a month,Beauty and Personal Care,Home and Kitchen,No,Keyword,1,No,1,3,1,User-friendly website/app interface,Product quality and accuracy,,,
44,Male,Few times a month,Clothing and Fashion,others,No,categories,5,No,2,3,2,Product recommendations,Customer service responsiveness,,,
31,Female,Once a month,Home and Kitchen,others,Sometimes,others,4,Yes,5,4,2,User-friendly website/app interface,Reducing packaging waste,,,
23,Female,Once a week,Clothing and Fashion,Sometimes,categories,5,No,3,3,3,Product recommendations,Product quality and accuracy,,,,
23,Female,Less than once a month,Beauty and Personal Care,others,Sometimes,Keyword,1,No,2,2,1,Wide product selection,Reducing packaging waste,,,
22,Female,Less than once a month,Clothing and Fashion,Home and Kitchen,No,Keyword,5,No,5,2,3,Competitive prices,Customer service responsiveness,,,
24,Female,Once a week,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,Sometimes,Keyword,1,Yes,1,1,1,Wide product selection,Customer service responsiveness,,
23,Prefer not to say,Once a week,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,Yes,Keyword,1,Yes,1,1,1,Wide product selection,Customer service responsiveness,,
25,Male,Less than once a month,others,Yes,Keyword,5,No,3,3,3,Wide product selection,Customer service responsiveness,,,,
23,Male,Once a week,Clothing and Fashion,Sometimes,Filter,1,Yes,1,2,2,Competitive prices,Customer service responsiveness,,,,
24,Male,Once a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,Sometimes,Keyword,1,Yes,2,2,2,Competitive prices,Product quality and accuracy,
24,Female,Few times a month,others,Yes,Keyword,1,No,2,3,2,Wide product selection,Customer service responsiveness,,,,
26,Female,Less than once a month,others,No,Keyword,1,Yes,1,2,1,Product recommendations,Shipping speed and reliability,,,,
25,Female,Less than once a month,Clothing and Fashion,Sometimes,categories,5,Yes,4,4,3,Wide product selection,Shipping speed and reliability,,,,
26,Male,Few times a month,Clothing and Fashion,others,No,Keyword,4,No,3,3,3,Product recommendations,Reducing packaging waste,,,
29,Male,Less than once a month,others,No,Keyword,4,No,3,4,4,Wide product selection,Product quality and accuracy,,,,
23,Female,Once a month,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,Yes,Keyword,2,Yes,2,3,4,Competitive prices,Reducing packaging waste,,
30,Male,Multiple times a week,Clothing and Fashion,Home and Kitchen,Yes,Keyword,3,Yes,1,1,2,Competitive prices,Customer service responsiveness,,,
23,Female,Less than once a month,Beauty and Personal Care,Home and Kitchen,No,categories,1,No,3,3,3,Wide product selection,Customer service responsiveness,,,
21,Female,Less than once a month,Clothing and Fashion,No,Keyword,1,No,4,3,3,Wide product selection,Reducing packaging waste,,,,
23,Female,Once a month,Beauty and Personal Care,Home and Kitchen,No,categories,1,Yes,3,2,2,Product recommendations,Product quality and accuracy,,,
23,Female,Less than once a month,Clothing and Fashion,others,No,Keyword,2,No,2,2,1,Wide product selection,Shipping speed and reliability,,,
27,Male,Once a month,others,Sometimes,Keyword,3,Yes,3,3,1,Wide product selection,Product quality and accuracy,,,,
38,Female,Once a month,Beauty and Personal Care,Home and Kitchen,No,Keyword,2,Yes,4,4,2,Wide product selection,Product quality and accuracy,,,
23,Female,Less than once a month,Beauty and Personal Care,Clothing and Fashion,No,Keyword,1,No,3,2,2,User-friendly website/app interface,Product quality and accuracy,,,
38,Female,Less than once a month,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,No,categories,3,No,4,4,2,Product recommendations,Shipping speed and reliability,,
23,Male,Few times a month,others,No,categories,3,Yes,2,3,3,Competitive prices,Reducing packaging waste,,,,
24,Male,Once a week,Clothing and Fashion,others,No,categories,2,Yes,3,3,2,Product recommendations,Customer service responsiveness,,,
25,Female,Once a week,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,Yes,Filter,2,Yes,2,3,2,Product recommendations,Customer service responsiveness,
26,Male,Less than once a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,Yes,Keyword,1,No,1,2,1,Wide product selection,Customer service responsiveness
27,Male,Once a week,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,No,Filter,3,Yes,3,3,2,Competitive prices,Product quality and accuracy,
29,Prefer not to say,Once a week,Beauty and Personal Care,Yes,categories,1,Yes,3,2,1,Competitive prices,Customer service responsiveness,,,,
35,Prefer not to say,Few times a month,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,No,Filter,3,No,4,3,2,Competitive prices,Reducing packaging waste,,
21,Female,Once a month,Beauty and Personal Care,Clothing and Fashion,Yes,Keyword,1,No,1,3,1,Competitive prices,Product quality and accuracy,,,
36,Male,Few times a month,Beauty and Personal Care,Home and Kitchen,No,categories,4,Yes,2,2,3,Product recommendations,Customer service responsiveness,,,
44,Female,Few times a month,Beauty and Personal Care,No,Filter,2,No,2,2,2,Competitive prices,Customer service responsiveness,,,,
32,Female,Once a week,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,Yes,Keyword,1,Yes,1,1,1,User-friendly website/app interface,Customer service responsiveness
30,Male,Few times a month,Groceries and Gourmet Food,Beauty and Personal Care,Home and Kitchen,No,Filter,3,Yes,4,3,2,Competitive prices,Product quality and accuracy,,
36,Others,Less than once a month,others,Sometimes,others,5,No,5,5,5,User-friendly website/app interface,Shipping speed and reliability,,,,
25,Male,Less than once a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,No,Keyword,1,No,1,1,1,Wide product selection,Customer service responsiveness
20,Female,Multiple times a week,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,Yes,Keyword,1,Yes,4,1,1,Wide product selection,Product quality and accuracy,
35,Female,Once a week,Beauty and Personal Care,No,categories,3,No,2,4,3,Product recommendations,Product quality and accuracy,,,,
42,Male,Less than once a month,Groceries and Gourmet Food,Home and Kitchen,others,Yes,Keyword,1,Yes,1,1,1,Wide product selection,Product quality and accuracy,,
37,Female,Few times a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,No,categories,2,No,2,1,1,Product recommendations,Reducing packaging waste,
28,Female,Multiple times a week,Beauty and Personal Care,Clothing and Fashion,others,Yes,Keyword,1,Yes,3,2,1,Wide product selection,Customer service responsiveness,,
27,Male,Once a week,Beauty and Personal Care,Home and Kitchen,No,categories,2,No,3,2,2,Competitive prices,Customer service responsiveness,,,
45,Female,Once a week,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,No,categories,2,No,2,2,2,Competitive prices,Product quality and accuracy,
35,Male,Less than once a month,Groceries and Gourmet Food,Clothing and Fashion,Home and Kitchen,others,Yes,Keyword,1,Yes,1,1,1,Competitive prices,Shipping speed and reliability,
50,Female,Multiple times a week,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,No,Filter,3,Yes,2,3,2,Competitive prices,Reducing packaging waste,,
54,Female,Few times a month,Beauty and Personal Care,others,No,Keyword,3,No,2,3,2,Competitive prices,Reducing packaging waste,,,
29,Female,Multiple times a week,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,Yes,Keyword,1,Yes,1,1,1,Competitive prices,Product quality and accuracy
63,Male,Less than once a month,Groceries and Gourmet Food,Home and Kitchen,others,No,Keyword,1,No,2,3,2,Competitive prices,Customer service responsiveness,,
24,Male,Few times a month,Beauty and Personal Care,Clothing and Fashion,Sometimes,Keyword,1,No,2,2,1,Competitive prices,Product quality and accuracy,,,
23,Female,Less than once a month,Beauty and Personal Care,No,Keyword,1,Yes,1,1,1,Wide product selection,Shipping speed and reliability,,,,
26,Female,Few times a month,Beauty and Personal Care,Clothing and Fashion,Yes,categories,1,Yes,5,1,1,Wide product selection,Product quality and accuracy,,,
29,Male,Multiple times a week,Beauty and Personal Care,Clothing and Fashion,No,Filter,5,No,3,1,1,Competitive prices,Shipping speed and reliability,,,
46,Prefer not to say,Few times a month,Beauty and Personal Care,Clothing and Fashion,No,Keyword,2,No,2,3,2,Competitive prices,Reducing packaging waste,,,
24,Male,Less than once a month,others,No,Keyword,4,No,3,4,5,Wide product selection,Nil,,,,
33,Female,Few times a month,Groceries and Gourmet Food,Beauty and Personal Care,No,Filter,2,No,2,2,2,Competitive prices,Reducing packaging waste,,,
33,Female,Once a week,Beauty and Personal Care,others,No,Filter,5,No,2,1,1,Product recommendations,Shipping speed and reliability,,,
31,Prefer not to say,Once a month,Clothing and Fashion,No,categories,3,No,3,5,4,Wide product selection,Shipping speed and reliability,,,,
40,Prefer not to say,Few times a month,Clothing and Fashion,Home and Kitchen,Sometimes,Filter,2,No,1,1,2,Product recommendations,Reducing packaging waste,,,
37,Male,Once a week,Beauty and Personal Care,Clothing and Fashion,No,categories,3,No,2,3,4,Product recommendations,Customer service responsiveness,,,
25,Prefer not to say,Few times a month,Beauty and Personal Care,No,categories,3,No,2,3,2,User-friendly website/app interface,Product quality and accuracy,,,,
60,Female,Once a week,Beauty and Personal Care,Clothing and Fashion,Yes,Keyword,2,No,2,2,3,Product recommendations,Customer service responsiveness,,,
18,Female,Once a week,Groceries and Gourmet Food,Beauty and Personal Care,No,categories,3,No,4,4,4,Competitive prices,Reducing packaging waste,,,
50,Male,Less than once a month,Clothing and Fashion,Home and Kitchen,others,No,categories,3,No,4,4,4,Product recommendations,Shipping speed and reliability,,
24,Prefer not to say,Few times a month,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,Sometimes,categories,1,No,3,2,3,Wide product selection,Product quality and accuracy,,
19,Female,Few times a month,Beauty and Personal Care,Clothing and Fashion,No,categories,3,No,2,3,2,Wide product selection,Customer service responsiveness,,,
18,Female,Once a month,Beauty and Personal Care,Clothing and Fashion,others,No,others,4,Yes,1,2,1,Wide product selection,Product quality and accuracy,,
17,Male,Few times a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,No,categories,3,Yes,2,2,2,Wide product selection,Customer service responsiveness,,
27,Female,Once a month,Beauty and Personal Care,No,Keyword,1,Yes,3,3,2,Wide product selection,Shipping speed and reliability,,,,
23,Male,Less than once a month,Beauty and Personal Care,Home and Kitchen,others,No,Filter,1,No,5,5,2,Wide product selection,Product quality and accuracy,,
35,Female,Few times a month,Beauty and Personal Care,No,categories,3,Yes,2,4,2,Product recommendations,Reducing packaging waste,,,,
57,Female,Few times a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,No,Filter,2,No,3,3,1,Product recommendations,Reducing packaging waste
54,Male,Few times a month,Groceries and Gourmet Food,Clothing and Fashion,Home and Kitchen,No,Filter,3,Yes,3,2,2,Competitive prices,Product quality and accuracy,,
26,Prefer not to say,Once a month,Beauty and Personal Care,No,categories,2,No,2,2,2,Wide product selection,Shipping speed and reliability,,,,
46,Male,Once a week,Beauty and Personal Care,Sometimes,Keyword,2,Yes,2,2,2,Competitive prices,Customer service responsiveness,,,,
26,Female,Multiple times a week,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,Home and Kitchen,others,Sometimes,Keyword,1,Yes,3,3,2,Competitive prices,Add more familiar brands to the list
24,Male,Once a month,others,No,Filter,1,Yes,1,3,2,User-friendly website/app interface,Shipping speed and reliability,,,,
26,Female,Once a month,Groceries and Gourmet Food,Beauty and Personal Care,Clothing and Fashion,No,categories,1,Yes,2,1,1,User-friendly website/app interface,Shipping speed and reliability,,
27,Male,Once a month,Clothing and Fashion,No,categories,5,Yes,3,1,2,Wide product selection,Shipping speed and reliability,,,,
22,Female,Few times a month,Beauty and Personal Care,Yes,Filter,3,Yes,1,3,3,Competitive prices,Customer service responsiveness,,,,
24,Male,Few times a month,Beauty and Personal Care,Yes,categories,3,No,3,3,3,Product recommendations,Customer service responsiveness,,,,
25,Male,Multiple times a week,Beauty and Personal Care,No,Filter,3,No,2,3,3,Competitive prices,Reducing packaging waste,,,,
22,Prefer not to say,Once a month,Beauty and Personal Care,Yes,others,2,Yes,3,3,3,Product recommendations,Customer service responsiveness,,,,
27,Male,Once a month,others,No,Keyword,1,Yes,3,1,1,User-friendly website/app interface,Shipping speed and reliability,,,,
23,Female,Less than once a month,Clothing and Fashion,Home and Kitchen,No,Keyword,1,No,2,2,2,Competitive prices,Shipping speed and reliability,,,
24,Male,Less than once a month,Clothing and Fashion,No,categories,1,No,3,3,3,User-friendly website/app interface,Product quality and accuracy,,,,
24,Female,Less than once a month,Beauty and Personal Care,No,categories,4,No,3,3,3,Competitive prices,Product quality and accuracy,,,,
23,Female,Few times a month,Clothing and Fashion,No,Filter,1,No,4,3,4,User-friendly website/app interface,Product quality and accuracy,,,,
23,Male,Once a month,Clothing and Fashion,others,No,Keyword,1,Yes,3,3,3,Competitive prices,UI,,,
25,Female,Once a week,Groceries and Gourmet Food,Yes,Filter,3,No,3,3,3,Product recommendations,Reducing packaging waste,,,,
21,Male,Once a week,Groceries and Gourmet Food,No,categories,5,Yes,3,3,3,User-friendly website/app interface,Customer service responsiveness,,,,
36,Female,Few times a month,Groceries and Gourmet Food,No,Keyword,2,Yes,3,3,4,Wide product selection,Customer service responsiveness,,,,
23,Female,Multiple times a week,Beauty and Personal Care,Yes,Filter,3,Yes,3,3,3,Competitive prices,Customer service responsiveness,,,,
23,Female,Few times a month,Clothing and Fashion,Sometimes,Filter,3,Yes,3,3,3,Product recommendations,Customer service responsiveness,,,,
23,Prefer not to say,Once a week,Clothing and Fashion,Yes,categories,3,Yes,3,3,3,Product recommendations,Customer service responsiveness,,,,
21,Female,Once a week,Beauty and Personal Care,Yes,Filter,3,No,3,3,3,Competitive prices,Customer service responsiveness,,,,
23,Prefer not to say,Once a week,Clothing and Fashion,Yes,Keyword,3,Yes,3,3,3,Competitive prices,Product quality and accuracy,,,,
26,Others,Few times a month,Beauty and Personal Care,Yes,Filter,3,Yes,3,2,3,User-friendly website/app interface,Product quality and accuracy,,,,
30,Female,Few times a month,Beauty and Personal Care,Yes,Filter,3,Yes,3,3,3,Product recommendations,Customer service responsiveness,,,,
37,Female,Once a month,Clothing and Fashion,Sometimes,categories,1,No,4,2,3,Wide product selection,Product quality and accuracy,,,,
26,Female,Once a month,Beauty and Personal Care,Yes,categories,3,No,2,3,3,Competitive prices,Shipping speed and reliability,,,,
46,Female,Once a month,others,Sometimes,others,5,Yes,1,1,1,User-friendly website/app interface,Shipping speed and reliability,,,,
